;;
;;
Imagen referencia;Detalle;Precio distribuidor
Controladores PWM AGM/GEL;;
;Controlador solar PWM 10A 12V/24V 50V;$ 49.658
;Controlador solar PWM 20A 12V/24V 50V;$ 53.535
;Controlador solar PWM 30A 12V/24V 50V;$ 73.737
;Controlador solar PWM 40A 12V/24V 50V;$ 81.818
;Controlador solar PWM 60A 12V/24V 50V;$ 139.394
;Controlador solar PWM 10A 12V/24V 50V;$ 44.739
;Controlador solar PWM 20A 12V/24V 50V;$ 47.789
;Controlador solar PWM 30A 12V/24V 50V;$ 97.290
;Controlador solar PWM 40A 12V/24V 50V;$ 105.397
;Controlador solar PWM 60A 12V/24V 50V;$ 178.365
Controladores PWM LDSOLAR AGM/GEL/LIFEPO4/INUNDADA;;
;Controlador solar PWM 10A 12/24V 55V LCD 2 puertos USB;$ 69.325
;Controlador solar PWM 20A 12/24V 55V LCD 2 puertos USB;$ 75.882
;Controlador solar PWM 30A 12/24V 55V LCD 4 puertos USB;$ 111.481
;Controlador solar PWM 40A 12/24V 55V LCD 4 puertos USB;$ 163.943
;Controlador solar PWM 60A 12/24V 55V LCD 4 puertos USB;$ 224.837
Controladores MPPT LDSOLAR;;
;Controlador solar MPPT 20A 12V/24V LCD 2 puertos USB 75V TD2207;$ 227.179
;Controlador solar MPPT 30A 12V/24V LCD 120V 1 puerto USB TD2312TU;$ 349.746
;Controlador solar MPPT 40A 12V/24V LCD 120V 1 puerto USB TD2412TU;$ 461.383
;Controlador solar MPPT 60A 12V/24V/48V LCD 150V TD4615F;$ 667.483
;Controlador solar MPPT 80A 12V/24V/48V LCD 200V TD4820F;$ 917.302
;Controlador solar MPPT 80A 12V/24V/48V LCD 250V TD4825F;PROXIMAMENTE
;Controlador solar MPPT 100A 12V/24V/48V LCD 250V TD41025F;PROXIMAMENTE
;Modulo WIFI LDSOLAR;$ 71.429
;Balanceador de bateria;$ 136.565
Controladores MPPT SRNE;;
;Controlador solar MPPT 10A 12V/24V 60V SHINER;$ 190.000
;Controlador solar MPPT 20A 12V/24V 60V SHINER;$ 241.667
;Controlador solar MPPT 30A 12V/24V 100V SHINER;$ 346.667
;Controlador solar MPPT 20A 12V/24V 100V ML2420;$ 300.000
;Controlador solar MPPT 30A 12V/24V 100V ML2430;$ 425.000
;Controlador solar MPPT 40A 12V/24V 100V ML2440;$ 483.333
;Controlador solar MPPT 60A 12V/24V/36V/48V 150V MF4860N15;$ 744.615
;Modulo WIFI WF-1 SHINER y MC2450N10;$ 76.923
;Modulo Bluetooth BT-2 SHINER y MC2450N10;$ 76.923
Controladores MPPT MUST;;
;Controlador solar MPPT 60A 12V-100V/24/36/48V-245V MUST PC18-6025F;$ 742.857
;Controlador solar MPPT 80A 12V100V/24/36/48V-245V MUST PC18-8025F;$ 800.000
;Controlador solar MPPT 100A 12V100V/24/36/48V-245V MUST PC18-8025F;$ 857.143
Paneles solares;;
;Panel solar policristalino 5W Restar;$ 27.143
;Panel solar policristalino 10W Restar;$ 38.571
;Panel solar policristalino 20W Restar;$ 50.000
;Panel solar policristalino 30W Restar;$ 71.429
;Panel solar policristalino 50W Restar;$ 107.143
;Panel solar monocristalino 60W Restar;$ 142.857
;Panel solar monocristalino 110W Restar;$ 161.429
;Panel solar policristalino 120W Restar;$ 277.143
;Panel solar monocristalino 170W Restar;$ 235.714
;Panel solar monocristalino 210W Restar;$ 285.714
;Panel solar policristalino 280W Ecogreen/ Restar;$ 373.494
;Panel solar policristalino 330W Luxen;$ 385.542
;Panel solar monocristalino celda dividida 370W Restar;$ 411.765
;Panel solar monocristalino celda dividida 410W Ecogreen;$ 397.590
;Panel solar monocristalino celda dividida doble vidrio 480W tipo N TOPCon 16BB Znshinesolar;$ 445.783
;Panel solar monocristalino celda dividida 550W Amosolar;$ 402.439
;Panel solar monocristalino PERC celda dividida doble vidrio 580W tipo N TOPCon Znshinesolar;$ 487.805
;Panel solar monocristalino celda dividida bifacial doble vidrio 640W GCL;$ 569.512
;Panel solar mono PERC celda dividida bifacial doble vidrio 700W Znshinesolar;$ 591.463
Inv ersores onda modificada LEYU;;
;Inversor onda modificada 200W 12V 110V/120VAC 60Hz;$ 92.000
;Inversor onda modificada 300W 12V 110V/120VAC 60Hz;$ 94.000
;Inversor onda modificada 600W 12V 110V/120VAC 60Hz;$ 130.000
;Inversor onda modificada 800W 12V 110V/120VAC 60Hz;$ 230.000
;Inversor onda modificada 1000W 12V + LCD 110V/120VAC 60Hz;$ 340.000
;Inversor onda modificada 1000W 24V + LCD 110V/120VAC 60Hz;$ 340.000
;Inversor onda modificada 1500W 12V + LCD 110V/120VAC 60Hz;$ 414.000
;Inversor onda modificada 1500W 24V + LCD 110V/120VAC 60Hz;$ 414.000
Inv ersores onda pura LEYU;;
;Inversor onda pura 600W 12V 110V/120VAC 60Hz;$ 334.552
;Inversor onda pura 600W 24V 110V/120VAC 60Hz;$ 334.552
;Inversor onda pura 1000W 12V + LCD 110V/120VAC 60Hz;$ 566.000
;Inversor onda pura 1000W 24V + LCD 110V/120VAC 60Hz;$ 566.000
;Inversor onda pura 1500W 12V + LCD 110V/120VAC 60Hz;$ 679.167
;Inversor onda pura 1500W 24V + LCD 110V/120VAC 60Hz;$ 679.167
;Inversor onda pura 2000W 12V + LCD + bornera 110V/120VAC 60Hz;$ 904.000
;Inversor onda pura 2000W 24V + LCD + bornera 110V/120VAC 60Hz;$ 904.000
;Inversor onda pura 2000W 48V + LCD + bornera 110V/120VAC 60Hz;$ 1.000.000
;Inversor onda pura 3000W 12V + LCD + bornera 110V/120VAC 60Hz;$ 1.284.000
;Inversor onda pura 3000W 24V + LCD + bornera 110V/120VAC 60Hz;$ 1.284.000
;Inversor onda pura 3000W 48V + LCD + bornera 110V/120VAC 60Hz;$ 1.400.000
Inv ersores cargadores off grid 110VAC MUST;;
;Inversor cargador LVHM 1000W 12V/120V MPPT 80A 100VDC WIFI (opcional);AGOTADO
;Inversor cargador LVHM 1000W 24V/120V MPPT 80A 145VDC WIFI (opcional);AGOTADO
;Inversor cargador LVHM 2000W 12V/120V MPPT 80A 100VDC WIFI (opcional);$ 1.542.169
;Inversor cargador LVHM 2000W 24V/120V MPPT 80A 245VDC WIFI (opcional);$ 1.566.265
;Inversor cargador LVHM 3000W 24V/120V MPPT 80A 245VDC WIFI (opcional);$ 1.746.988
;Inversor cargador PV18-1012LV 1000W 12V/120V MPPT 60A 105VDC  WIFI (opcional);AGOTADO
;Inversor cargador PV18-2024LV 2000W 24V/120V MPPT 60A 160VDC  WIFI (opcional);$ 1.421.687
;Inversor cargador PV18-3024LV 3000W 24V/120V MPPT 100A 450VDC 18A WIFI (opcional);AGOTADO
;Inversor cargador PV18-3048LV 3000W 48V/120V MPPT 80A 250VDC WIFI (opcional);$ 2.145.181
Inv ersores cargadores off grid 110/220VAC fase div idida MUST;;
;Inversor cargador fase dividida 3000W 24V/110V/220V MPPT 80A 245VDC WIFI (opcional);$ 1.927.711
;Inversor cargador fase dividida 3000W 48V/110V/220V MPPT 80A 245VDC WIFI (opcional);$ 2.349.398
;Inversor cargador fase dividida 4000W 48V/110V/220V MPPT 80A145VDC WIFI (opcional);$ 2.898.882
;Inversor cargador fase dividida 6000W 48V/110V/220V MPPT 80A 245VDC WIFI (opcional);$ 3.253.012
;Inversor cargador fase dividida 8000W 48V/110V/220V MPPT 100A 250VDC WIFI (opcional);$ 5.120.482
;Inversor cargador fase dividida 10000W 48V/110V/220V MPPT 200A 250VDC WIFI (opcional);$ 6.385.542
;Inversor cargador fase dividida 12000W 48V/110V/220V MPPT 200A 250VDC WIFI (opcional);$ 6.746.988
;WIFI PLUG inversores Must;$ 200.000
Inv ersores cargadores off grid 110VAC SRNE;;
;Inversor cargador 3000W 24V/120V MPPT 60A 100VDC WIFI (opcional);$ 1.962.500
;Modulo WIFI Inversores SRNE;$ 280.000
Accesorios Green Point;;
;Modulo WIFI Inversores Green Point;$ 280.000
Inv ersores cargadores off grid 120VAC Axpert;;
;Inversor cargador 6500W 48V/120V doble MPPT (4000WX2) 250VDC paralelo 6 pcs;$ 4.168.675
Inv ersores hibridos cargadores off grid 110VAC GROWATT;;
;Inversor hibrido SPF3000TL LVM-24P 3000W 24V/120V MPPT 80A 145VDC WIFI (opcional) / paralelo;$ 2.870.588
;Inversor hibrido SPF3000TL LVM-48P 3000W 48V/120V MPPT 80A 145VDC WIFI (opcional) / paralelo;AGOTADO
;Inversor hibrido  SPF 3000TL LVM-ES 3000W 48V/120V MPPT 80A 250VDC WIFI (opcional) / paralelo;$ 2.870.588
